ApartmentId,EntityType,FinalPrice,Status,Date,CreatedAt
9805,recurring,473,FINISHED,2026-01-26,2026-01-08 21:44:57.354+00
8057,recurring,202,COMPLETED,2026-01-26,2026-01-13 02:00:45.927+00
6812,recurring,35,COMPLETED,2026-01-14,2025-11-16 02:00:33.562+00
169,recurring,279,FINISHED,2024-04-10,2024-03-28 17:37:09.192+00
1014,ad-hoc,0,FINISHED,2024-05-14,2024-05-08 23:29:02.971+00
73,ad-hoc,489,FINISHED,2024-05-12,2024-05-08 17:32:04.649+00
130,recurring,127,FINISHED,2024-02-28,2024-02-26 15:54:44.296+00
284,recurring,146,FINISHED,2024-04-18,2024-03-24 02:00:11.616+00
66,recurring,85,FINISHED,2023-12-12,2023-11-19 02:00:19.623+00
819,recurring,92,FINISHED,2024-05-14,2024-04-21 02:00:20.758+00
5,recurring,319,FINISHED,2023-12-19,2023-12-18 14:40:22.467+00
239,recurring,492,FINISHED,2023-12-25,2023-12-24 13:28:51.333+00
10406,recurring,21,COMPLETED,2026-02-10,2026-02-03 19:44:17.622+00
230,recurring,91,FINISHED,2023-12-25,2023-12-24 13:28:54.6+00
2632,recurring,162,COMPLETED,2026-02-04,2025-12-07 02:00:29.841+00
124,recurring,0,COMPLETED,2023-09-14,2023-09-13 13:04:13.121+00
478,ad-hoc,52,FINISHED,2024-01-04,2024-01-04 14:32:31.892+00
17,recurring,0,FINISHED,2023-08-30,2023-08-29 17:45:26.698+00
133,recurring,214,FINISHED,2023-12-19,2023-12-18 14:40:18.087+00
876,ad-hoc,127,COMPLETED,2026-01-26,2026-01-24 19:28:42.925+00
284,ad-hoc,0,FINISHED,2023-12-25,2023-12-24 15:30:29.427+00
599,recurring,316,FINISHED,2026-01-26,2025-12-04 02:00:20.453+00
9970,ad-hoc,114.95,COMPLETED,2026-01-15,2026-01-14 18:44:53.068+00
7661,recurring,70,COMPLETED,2026-05-06,2026-03-08 02:00:50.544+00
478,recurring,51,FINISHED,2024-02-29,2024-02-21 21:09:30.145+00
830,recurring,92,COMPLETED,2024-04-11,2024-04-10 16:41:28.587+00
447,recurring,69,COMPLETED,2024-01-17,2024-01-16 14:18:43.564+00
335,recurring,351,FINISHED,2024-01-24,2024-01-23 15:15:04.992+00
328,recurring,120,FINISHED,2024-01-24,2024-01-23 15:15:01.512+00
711,recurring,69,COMPLETED,2024-04-11,2024-04-10 16:41:25.452+00
4,ad-hoc,0,FINISHED,2024-04-18,2024-04-18 06:36:42.046+00
4900,recurring,146,FINISHED,2026-02-04,2025-12-07 02:00:38.988+00
6738,recurring,16,COMPLETED,2026-01-21,2026-01-14 18:46:44.864+00
305,recurring,23,FINISHED,2023-12-07,2023-11-12 02:00:21.323+00
327,ad-hoc,78,FINISHED,2023-12-27,2023-12-27 14:55:49.444+00
374,recurring,45,FINISHED,2026-01-26,2025-11-30 02:00:18.065+00
10398,recurring,176,COMPLETED,2026-02-25,2026-02-10 18:26:45.287+00
8540,ad-hoc,25,COMPLETED,2026-03-02,2026-03-02 02:25:46.042+00
535,recurring,92,FINISHED,2024-04-11,2024-04-05 14:54:09.977+00
634,recurring,108,FINISHED,2024-04-12,2024-03-28 17:52:19.317+00
688,ad-hoc,88,COMPLETED,2024-02-29,2024-02-21 21:11:25.026+00
1038,recurring,198,FINISHED,2024-05-08,2024-05-02 14:56:37.091+00
492,recurring,69,FINISHED,2024-01-16,2024-01-16 14:19:54.855+00
388,recurring,544,FINISHED,2024-01-17,2024-01-04 15:04:55.53+00
314,recurring,50,FINISHED,2024-04-10,2024-03-17 02:00:10.71+00
471,recurring,92,FINISHED,2024-03-06,2024-02-26 16:28:03.335+00
1016,recurring,36,COMPLETED,2024-04-30,2024-04-24 13:24:51.998+00
8,ad-hoc,114.66,FINISHED,2023-12-17,2023-12-16 17:32:13.853+00
420,recurring,429,FINISHED,2023-12-25,2023-12-11 14:04:14.378+00
93,recurring,325,FINISHED,2023-12-17,2023-11-26 02:00:19.72+00
79,ad-hoc,0,FINISHED,2026-02-05,2026-02-04 14:38:15.964+00
124,recurring,145,COMPLETED,2026-03-12,2026-03-11 21:44:23.901+00
6681,recurring,106,FINISHED,2026-01-21,2026-01-14 18:46:48.178+00
3959,ad-hoc,105,FINISHED,2026-01-26,2026-01-24 13:53:11.829+00
7508,recurring,58,COMPLETED,2026-03-02,2026-01-08 02:00:30.125+00
428,recurring,23,FINISHED,2024-03-20,2024-03-19 19:17:02.655+00
535,recurring,92,FINISHED,2024-04-22,2024-04-18 09:21:58.543+00
11939,ad-hoc,29,FINISHED,2026-05-29,2026-05-26 13:49:45.362+00
463,ad-hoc,0,FINISHED,2024-05-16,2024-05-14 17:04:31.786+00
610,ad-hoc,0,FINISHED,2024-05-15,2024-05-14 16:51:09.791+00
921,ad-hoc,35,FINISHED,2024-04-12,2024-04-10 17:57:58.017+00
284,recurring,496,FINISHED,2024-04-01,2024-03-31 12:16:41.03+00
428,recurring,23,FINISHED,2024-04-03,2024-03-19 19:17:02.657+00
1182,recurring,101,FINISHED,2024-06-13,2024-06-09 23:00:24.03+00
420,recurring,429,FINISHED,2024-01-01,2023-12-27 15:16:39.14+00
327,ad-hoc,156,FINISHED,2024-01-05,2024-01-04 16:42:39.1+00
6839,ad-hoc,60,FINISHED,2026-01-27,2026-01-26 06:57:44.537+00
4,ad-hoc,23,FINISHED,2024-05-16,2024-05-15 18:53:48.071+00
4224,ad-hoc,34,COMPLETED,2026-01-14,2026-01-13 17:26:29.973+00
8818,recurring,63,FINISHED,2026-02-10,2026-01-23 17:59:29.504+00
535,recurring,16,FINISHED,2024-04-11,2024-04-05 14:58:53.341+00
138,ad-hoc,525,FINISHED,2024-05-07,2024-05-02 06:23:31.441+00
900,recurring,69,COMPLETED,2024-05-08,2024-04-24 13:33:05.713+00
10059,ad-hoc,43,COMPLETED,2026-02-04,2026-02-04 14:41:36.439+00
9348,recurring,208,COMPLETED,2026-02-17,2025-12-29 20:10:26.109+00
733,recurring,485.65,FINISHED,2026-02-24,2026-02-22 15:49:59.664+00
7317,ad-hoc,19,COMPLETED,2026-03-20,2026-03-18 13:09:42.904+00
440,recurring,164,COMPLETED,2024-01-09,2023-12-20 08:52:27.773+00
21,recurring,319,FINISHED,2024-01-31,2024-01-07 02:00:12.637+00
71,recurring,401,FINISHED,2024-02-13,2024-02-12 17:59:38.62+00
923,ad-hoc,104,FINISHED,2024-04-26,2024-04-10 18:18:43.982+00
822,ad-hoc,0,COMPLETED,2024-04-19,2024-04-18 11:41:36.88+00
388,recurring,68,FINISHED,2023-12-25,2023-12-17 11:04:55.363+00
1408,ad-hoc,193,COMPLETED,2026-03-18,2026-03-17 13:33:24.291+00
8475,ad-hoc,121,COMPLETED,2026-06-10,2026-06-10 12:43:13.937+00
466,ad-hoc,37,FINISHED,2024-02-06,2024-02-06 12:32:48.266+00
316,recurring,181,FINISHED,2026-01-26,2025-12-08 17:58:51.145+00
441,recurring,69,FINISHED,2023-12-13,2023-12-13 17:24:17.721+00
2710,ad-hoc,32,FINISHED,2026-02-04,2026-02-02 03:22:34.25+00
82,ad-hoc,78,FINISHED,2023-12-27,2023-12-27 18:01:34.828+00
313,recurring,25,FINISHED,2023-12-18,2023-11-26 02:00:21.529+00
96,ad-hoc,188,FINISHED,2023-12-14,2023-12-13 18:18:25.7+00
231,ad-hoc,481,FINISHED,2023-12-14,2023-12-13 18:34:01.894+00
341,recurring,69,COMPLETED,2023-12-26,2023-12-03 02:00:23.339+00
9970,recurring,121,FINISHED,2026-02-10,2026-01-14 18:48:05.01+00
438,recurring,45,FINISHED,2024-03-06,2024-02-26 16:42:06.558+00
937,ad-hoc,7,FINISHED,2024-04-17,2024-04-10 22:17:58.95+00
925,ad-hoc,208,FINISHED,2024-04-17,2024-04-18 11:46:19.377+00
21,ad-hoc,156,FINISHED,2024-01-17,2024-01-16 17:13:51.757+00
599,ad-hoc,160,FINISHED,2024-01-31,2024-01-30 14:18:15.242+00
723,ad-hoc,23,FINISHED,2024-03-11,2024-03-05 19:22:06.892+00
328,recurring,623,FINISHED,2026-01-26,2025-11-30 02:00:17.232+00
8241,recurring,113,FINISHED,2026-01-14,2025-11-27 01:50:01.285+00
73,recurring,419,FINISHED,2024-01-17,2024-01-16 17:14:10.274+00
191,recurring,125,FINISHED,2026-02-05,2026-02-04 14:41:59.151+00
283,ad-hoc,0,FINISHED,2023-12-20,2023-12-18 15:48:38.065+00
5720,recurring,48,COMPLETED,2026-02-25,2026-02-22 15:53:57.822+00
10179,ad-hoc,61,FINISHED,2026-03-02,2026-03-02 04:50:26.93+00
190,recurring,319,FINISHED,2024-01-17,2024-01-16 17:14:04.192+00
190,recurring,36,FINISHED,2024-01-17,2024-01-16 17:14:07.58+00
340,recurring,245,FINISHED,2024-03-07,2024-02-13 11:55:05.512+00
8,ad-hoc,40.6,FINISHED,2023-09-18,2023-09-07 17:58:40.117+00
334,recurring,143,FINISHED,2023-12-28,2023-12-27 18:03:50.346+00
328,recurring,120,FINISHED,2024-02-07,2024-02-06 13:58:17.069+00
328,recurring,415,FINISHED,2023-12-18,2023-12-08 15:53:55.704+00
388,recurring,544,FINISHED,2024-01-31,2024-01-07 02:00:15.173+00
334,recurring,18,FINISHED,2024-02-05,2024-02-06 13:57:53.13+00
328,recurring,120,FINISHED,2024-02-14,2024-02-13 15:41:33.493+00
727,recurring,92,COMPLETED,2024-03-04,2024-02-29 15:39:14.974+00
452,recurring,42,COMPLETED,2024-03-22,2024-03-19 19:24:42.285+00
9805,recurring,785,FINISHED,2026-03-12,2026-02-04 15:02:47.752+00
328,recurring,120,FINISHED,2024-01-17,2024-01-16 17:39:06.458+00
172,recurring,209,FINISHED,2024-01-17,2024-01-16 17:39:11.57+00
292,recurring,161,FINISHED,2024-01-17,2024-01-16 17:39:14.39+00
9774,ad-hoc,65,FINISHED,2026-01-26,2026-01-26 09:11:58.561+00
417,ad-hoc,36,FINISHED,2023-12-25,2023-12-25 13:44:37.125+00
66,ad-hoc,0,FINISHED,2023-08-03,2023-08-01 18:04:49.556+00
463,ad-hoc,549,FINISHED,2023-12-18,2023-12-17 12:34:59.92+00
8,ad-hoc,0,FINISHED,2023-07-09,2023-07-04 16:46:26.345+00
456,recurring,319,FINISHED,2024-01-24,2024-01-23 18:43:24.008+00
967,recurring,319,FINISHED,2024-04-25,2024-04-24 13:27:21.677+00
190,recurring,319,FINISHED,2024-01-24,2024-01-23 18:43:27.462+00
485,ad-hoc,23,COMPLETED,2024-02-13,2024-02-13 15:57:44.902+00
67,recurring,319,FINISHED,2024-02-07,2024-02-06 13:58:23.385+00
634,ad-hoc,44,FINISHED,2024-02-26,2024-02-26 16:46:59.739+00
485,recurring,23,FINISHED,2024-04-24,2024-03-31 02:00:13.536+00
201,recurring,78,FINISHED,2024-03-20,2024-02-29 15:43:31.715+00
925,ad-hoc,416,FINISHED,2024-04-17,2024-04-18 11:48:26.836+00
174,recurring,71.25,FINISHED,2024-03-06,2024-02-28 20:08:43.04+00
8142,recurring,104,FINISHED,2026-01-14,2026-01-13 23:32:01.255+00
183,recurring,104,COMPLETED,2023-10-31,2023-10-31 00:30:29.743+00
1449,recurring,647,FINISHED,2026-01-26,2025-12-25 11:18:26.783+00
190,recurring,0,FINISHED,2024-01-24,2024-01-23 18:44:10.442+00
6476,ad-hoc,142,FINISHED,2026-02-05,2026-02-04 15:07:42.539+00
190,recurring,36,FINISHED,2024-01-24,2024-01-23 18:44:07.695+00
73,recurring,419,COMPLETED,2024-01-24,2024-01-23 18:44:03.031+00
523,recurring,92,COMPLETED,2024-02-26,2024-02-22 00:43:21.037+00
136,ad-hoc,200,FINISHED,2023-08-09,2023-08-08 17:58:31.223+00
8,recurring,129,COMPLETED,2023-12-24,2023-12-24 00:08:07.423+00
191,recurring,41,FINISHED,2023-12-24,2023-12-03 02:00:20.875+00
4,recurring,39,FINISHED,2023-12-24,2023-12-24 00:08:47.936+00
5,recurring,319,FINISHED,2023-06-14,2023-06-08 07:11:57.278+00
8,recurring,129,COMPLETED,2023-07-02,2023-06-13 23:00:00.011+00
317,ad-hoc,76,FINISHED,2024-01-25,2024-01-23 20:57:18.637+00
488,recurring,42,FINISHED,2024-02-09,2024-02-06 17:16:04.345+00
7816,ad-hoc,174,COMPLETED,2025-12-29,2025-12-26 01:38:31.793+00
967,recurring,36,FINISHED,2024-04-25,2024-04-24 13:27:29.305+00
201,recurring,78,FINISHED,2024-03-20,2024-02-29 15:45:26.798+00
496,recurring,21,FINISHED,2024-04-05,2024-03-10 02:00:21.656+00
1379,ad-hoc,31,FINISHED,2026-01-14,2026-01-13 23:31:53.025+00
924,ad-hoc,208,FINISHED,2024-04-18,2024-04-18 11:50:37.28+00
328,recurring,289,FINISHED,2023-12-28,2023-12-27 18:14:55.843+00
221,recurring,100,FINISHED,2024-01-24,2024-01-23 20:57:24.736+00
697,recurring,69,COMPLETED,2024-03-11,2024-03-05 19:22:59.714+00
303,recurring,489,FINISHED,2024-03-28,2024-03-18 15:44:31.694+00
489,recurring,18,COMPLETED,2024-04-01,2024-03-19 19:31:20.088+00
4,recurring,319,FINISHED,2023-12-24,2023-12-24 00:08:51.916+00
592,recurring,44,FINISHED,2024-06-12,2024-05-18 19:55:52.629+00
788,ad-hoc,23,FINISHED,2024-06-12,2024-06-12 15:20:55.261+00
1416,recurring,92,FINISHED,2024-07-17,2024-07-02 19:06:17.096+00
498,recurring,0,COMPLETED,2024-03-17,2024-02-29 16:07:34.702+00
328,recurring,0,FINISHED,2023-12-25,2023-12-05 19:53:08.051+00
341,recurring,69,COMPLETED,2024-01-05,2024-01-04 19:57:47.497+00
384,recurring,148,COMPLETED,2024-01-05,2024-01-04 19:57:44.624+00
498,recurring,0,FINISHED,2024-03-03,2024-02-29 16:07:34.698+00
300,recurring,95,FINISHED,2024-01-26,2024-01-23 20:57:36.209+00
335,ad-hoc,41,FINISHED,2024-04-11,2024-04-11 08:37:57.973+00
924,ad-hoc,416,FINISHED,2024-04-18,2024-04-18 11:51:21.956+00
233,recurring,176,FINISHED,2023-09-13,2023-09-07 21:25:16.282+00
538,recurring,56,COMPLETED,2024-02-16,2024-02-13 16:44:38.078+00
466,recurring,42,FINISHED,2024-02-27,2024-02-26 19:33:33.888+00
518,recurring,75,FINISHED,2024-04-03,2024-03-19 19:32:18.077+00
284,recurring,496,FINISHED,2024-07-15,2024-06-17 02:00:09.883+00
230,recurring,94,COMPLETED,2024-07-15,2024-06-17 02:00:09.806+00
16,ad-hoc,96,FINISHED,2026-05-21,2026-05-19 04:37:45.21+00
10011,ad-hoc,378,FINISHED,2026-01-28,2026-01-26 12:21:43.507+00
610,recurring,489,FINISHED,2024-03-18,2024-02-29 16:10:08.514+00
399,recurring,496,FINISHED,2023-12-26,2023-12-25 14:53:26.742+00
459,ad-hoc,791,FINISHED,2023-12-28,2023-12-27 18:19:38.1+00
2328,recurring,288,FINISHED,2026-02-09,2026-02-04 15:08:17.598+00
3606,recurring,52,COMPLETED,2026-02-24,2026-02-10 18:55:53.197+00
420,recurring,429,FINISHED,2024-02-12,2024-02-06 17:58:07.898+00
5,recurring,319,FINISHED,2024-02-28,2024-02-26 21:27:29.028+00
21,recurring,0,FINISHED,2024-02-12,2024-02-06 17:58:17.989+00
190,recurring,319,FINISHED,2024-01-31,2024-01-07 02:00:13.445+00
280,recurring,300,FINISHED,2024-01-15,2023-12-26 02:00:24.888+00
526,recurring,21,FINISHED,2024-02-22,2024-02-22 00:41:59.04+00
526,recurring,21,FINISHED,2024-03-22,2024-03-19 19:33:47.392+00
15,recurring,64.5,FINISHED,2024-02-28,2024-02-26 21:27:32.7+00
21,recurring,319,FINISHED,2024-02-12,2024-02-06 17:58:13.339+00
248,recurring,185,FINISHED,2024-04-07,2024-04-06 16:21:09.497+00
1100,recurring,23,COMPLETED,2026-01-14,2025-11-26 22:07:37.999+00
492,recurring,0,FINISHED,2026-04-06,2026-04-06 11:40:30.203+00
2268,recurring,252,FINISHED,2026-01-27,2026-01-26 12:22:49.374+00
8028,recurring,113,FINISHED,2026-04-17,2026-04-15 14:07:37.238+00
1142,recurring,109,FINISHED,2026-05-06,2026-03-08 02:00:55.107+00
438,ad-hoc,48.5,FINISHED,2023-12-27,2023-12-27 18:23:49.46+00
429,recurring,15,FINISHED,2026-05-06,2026-03-08 02:00:55.046+00
8,recurring,129,FINISHED,2024-04-07,2024-04-06 16:21:33.148+00
65,recurring,306,FINISHED,2023-09-19,2023-09-09 15:34:00.57+00
750,recurring,92,FINISHED,2024-07-01,2024-06-30 22:33:04.669+00
1331,recurring,388,FINISHED,2026-01-27,2025-11-30 02:00:20.859+00
1190,ad-hoc,15,COMPLETED,2026-01-15,2026-01-09 22:32:07.338+00
10406,recurring,21,COMPLETED,2026-02-18,2026-02-10 18:57:12.977+00
2514,recurring,165,COMPLETED,2025-10-27,2025-10-27 12:40:03.408+00
124,recurring,127,COMPLETED,2023-12-20,2023-12-13 21:30:57.526+00
318,recurring,50,FINISHED,2024-01-10,2024-01-10 14:41:58.543+00
361,ad-hoc,0,COMPLETED,2024-01-15,2024-01-13 18:58:00.343+00
361,ad-hoc,0,FINISHED,2024-01-29,2024-01-13 19:01:41.756+00
221,recurring,100,FINISHED,2023-09-26,2023-09-21 18:00:37.413+00
181,recurring,264,FINISHED,2023-11-22,2023-10-29 02:00:20.043+00
124,recurring,185,COMPLETED,2023-11-23,2023-11-20 12:58:25.2+00
181,recurring,264,FINISHED,2023-12-06,2023-11-12 02:00:21.118+00
181,recurring,264,FINISHED,2023-11-08,2023-11-06 16:41:10.839+00
9571,ad-hoc,30,FINISHED,2026-02-04,2026-02-04 15:10:44.428+00
303,recurring,489,FINISHED,2023-12-28,2023-12-27 18:24:48.268+00
15,recurring,64.5,FINISHED,2023-06-29,2023-06-28 15:03:05.814+00
634,recurring,29,FINISHED,2024-07-15,2024-06-17 02:00:04.693+00
335,ad-hoc,36,FINISHED,2024-04-03,2024-03-31 12:21:48.084+00
7444,recurring,118,FINISHED,2026-03-06,2026-02-22 16:24:12.995+00
353,recurring,95,FINISHED,2024-05-09,2024-05-02 19:58:57.307+00
451,recurring,148,FINISHED,2024-01-18,2023-12-26 02:00:39.607+00
450,recurring,22,FINISHED,2024-01-19,2023-12-26 02:00:38.616+00
35,recurring,253,FINISHED,2024-02-22,2024-02-20 09:00:44.033+00
521,recurring,319,FINISHED,2024-04-07,2024-04-06 16:21:40.84+00
560,recurring,69,FINISHED,2024-03-08,2024-02-13 16:45:59.025+00
565,recurring,443,FINISHED,2024-04-07,2024-04-06 16:21:43.668+00
303,recurring,489,FINISHED,2024-04-11,2024-03-18 15:46:07.02+00
317,recurring,161,FINISHED,2024-01-18,2024-01-16 19:10:02.932+00
552,ad-hoc,47,FINISHED,2024-01-24,2024-01-23 22:24:22.052+00
4,recurring,227,FINISHED,2024-02-22,2024-02-20 18:18:31.948+00
66,recurring,85,FINISHED,2023-10-01,2023-09-10 02:00:15.772+00
254,recurring,77.81,FINISHED,2023-09-10,2023-09-09 16:27:58.478+00
66,recurring,85,FINISHED,2023-12-19,2023-11-26 02:00:19.416+00
396,recurring,172,FINISHED,2023-12-28,2023-12-12 13:34:22.14+00
2514,recurring,165,COMPLETED,2026-01-05,2026-01-02 18:12:37.084+00
396,ad-hoc,0,FINISHED,2023-12-17,2023-12-16 17:49:17.553+00
473,recurring,52,FINISHED,2023-12-19,2023-12-17 15:08:39.59+00
82,ad-hoc,312,FINISHED,2023-12-17,2023-12-17 14:30:57.391+00
336,recurring,75,COMPLETED,2023-10-13,2023-09-21 17:14:41.039+00
475,recurring,52,FINISHED,2023-12-19,2023-12-17 15:46:58.787+00
82,ad-hoc,156,FINISHED,2023-12-17,2023-12-17 17:37:47.193+00
260,recurring,245,COMPLETED,2023-12-17,2023-12-16 17:57:13.425+00
8774,ad-hoc,31,FINISHED,2026-01-27,2026-01-26 12:42:42.321+00
1002,recurring,92,FINISHED,2024-05-15,2024-04-24 13:33:11.1+00
10654,recurring,101,FINISHED,2026-02-26,2026-02-22 16:25:51.562+00
115,recurring,162,FINISHED,2023-09-20,2023-09-09 15:41:51.011+00
717,recurring,87,COMPLETED,2024-03-04,2024-02-26 21:46:06.809+00
535,recurring,16,FINISHED,2024-04-22,2024-04-18 13:37:24.775+00
1142,recurring,101,FINISHED,2026-01-14,2026-01-12 15:27:12.687+00
93,recurring,350,FINISHED,2026-01-27,2026-01-26 13:04:40.081+00
66,recurring,85,FINISHED,2023-12-28,2023-12-03 02:00:19.657+00
63,recurring,209,FINISHED,2023-12-19,2023-12-06 09:58:37.982+00
65,ad-hoc,0,FINISHED,2023-07-19,2023-07-19 13:35:41.738+00
25,ad-hoc,156,FINISHED,2023-08-17,2023-08-17 06:25:57.787+00
66,recurring,85,FINISHED,2023-09-05,2023-08-13 02:00:13.002+00
345,recurring,560,COMPLETED,2024-04-15,2024-04-11 10:16:38.46+00
396,ad-hoc,0,FINISHED,2024-09-05,2024-09-02 08:19:14.099+00
284,ad-hoc,0,FINISHED,2024-04-16,2024-04-11 10:16:42.541+00
328,recurring,174,FINISHED,2024-03-03,2024-02-26 21:53:46.711+00
284,recurring,496,FINISHED,2024-04-16,2024-04-11 10:16:36.291+00
88,recurring,520,FINISHED,2024-04-16,2024-04-11 10:16:46.208+00
7746,recurring,28,FINISHED,2026-03-04,2026-03-02 11:14:30.082+00
526,recurring,21,FINISHED,2024-04-23,2024-04-18 14:41:56.13+00
616,recurring,119,COMPLETED,2024-05-06,2024-04-24 13:35:54.242+00
494,ad-hoc,47,COMPLETED,2024-05-16,2024-05-08 18:37:13.171+00
449,recurring,92,FINISHED,2024-02-14,2024-02-13 16:47:56.156+00
155,ad-hoc,25,FINISHED,2024-03-11,2024-03-11 17:59:38.402+00
211,recurring,227,FINISHED,2024-03-04,2024-02-29 17:10:15.3+00
657,recurring,23,COMPLETED,2024-03-21,2024-03-19 19:41:16.778+00
396,recurring,148,FINISHED,2023-12-28,2023-12-12 13:34:43.726+00
164,recurring,499,FINISHED,2023-08-22,2023-08-20 15:34:24.996+00
882,recurring,92,COMPLETED,2024-05-21,2024-05-20 15:32:34.152+00
8790,recurring,122,FINISHED,2026-01-14,2025-12-08 20:26:10.292+00
2514,recurring,165,COMPLETED,2025-11-10,2025-09-14 02:00:19.352+00
10691,ad-hoc,148,FINISHED,2026-02-24,2026-02-22 17:56:44.904+00
115,recurring,162,FINISHED,2023-12-19,2023-12-13 21:26:28.329+00
9376,ad-hoc,21,FINISHED,2026-03-04,2026-03-02 11:34:00.914+00
940,recurring,100,FINISHED,2024-05-16,2024-05-10 17:46:27.708+00
428,recurring,22,FINISHED,2024-01-24,2024-01-23 22:24:48.305+00
81,recurring,284,FINISHED,2024-03-03,2024-02-26 21:53:55.746+00
239,recurring,492,FINISHED,2024-03-04,2024-02-29 17:10:21.708+00
565,recurring,443,FINISHED,2024-04-15,2024-04-11 10:32:31.051+00
750,recurring,92,FINISHED,2024-06-14,2024-06-12 19:06:45.459+00
10425,recurring,176,COMPLETED,2026-03-03,2026-02-22 18:31:48.53+00
172,recurring,209,FINISHED,2024-01-03,2023-12-28 08:33:56.636+00
442,ad-hoc,26,COMPLETED,2023-12-19,2023-12-19 10:17:17.304+00
8249,recurring,14,FINISHED,2026-01-16,2025-11-16 02:00:44.338+00
549,recurring,489,COMPLETED,2024-02-09,2024-01-31 14:16:16.059+00
2710,ad-hoc,54,FINISHED,2026-01-27,2026-01-26 13:35:21.945+00
2514,recurring,165,COMPLETED,2025-12-08,2025-10-12 02:00:23.327+00
445,recurring,148,FINISHED,2024-03-18,2024-02-25 02:00:15.835+00
353,recurring,95,FINISHED,2023-12-08,2023-12-04 00:33:49.061+00
223,ad-hoc,114,FINISHED,2024-05-03,2024-05-02 13:12:58.416+00
231,recurring,481,FINISHED,2024-01-28,2024-01-24 02:00:04.718+00
17,ad-hoc,319,FINISHED,2024-02-14,2024-02-14 06:15:52.478+00
239,recurring,0,FINISHED,2024-03-04,2024-02-29 17:10:25.995+00
610,recurring,489,FINISHED,2024-02-12,2024-02-06 18:24:15.068+00
335,ad-hoc,143,FINISHED,2024-04-04,2024-03-31 12:25:44.278+00
1222,recurring,37,FINISHED,2024-07-25,2024-07-15 21:19:07.155+00
485,recurring,23,COMPLETED,2024-10-23,2024-09-25 02:00:14.161+00
67,recurring,237,FINISHED,2024-01-03,2023-12-28 08:34:20.992+00
168,recurring,193,COMPLETED,2023-09-28,2023-09-07 20:45:24.454+00
5720,recurring,48,COMPLETED,2026-01-26,2025-12-12 02:00:41.837+00
170,recurring,477,FINISHED,2023-09-03,2023-09-02 18:09:56.442+00
71,ad-hoc,314.34,FINISHED,2023-12-19,2023-12-17 13:37:47.974+00
10,recurring,319,COMPLETED,2023-12-26,2023-12-25 15:11:30.98+00
116,recurring,319,FINISHED,2023-09-03,2023-09-02 17:47:12.266+00
4,recurring,227,FINISHED,2024-04-18,2024-04-11 11:02:55.85+00
387,recurring,258,FINISHED,2024-01-31,2024-01-23 09:26:13.714+00
66,recurring,85,FINISHED,2024-03-24,2024-03-03 02:00:07.064+00
124,recurring,127,COMPLETED,2024-02-14,2024-01-21 02:00:03.984+00
496,recurring,21,COMPLETED,2024-02-23,2024-02-22 21:15:44.52+00
