Id,City,Project,Country,ApproximateNumberOfApartments,NeighborhoodId,neighbourhood,building_status
180,Miami,1800 Biscayne Plaza,US,195.0,1,Edgewater Polygon,ACTIVE
249,New York,605 West 42nd Street,US,,4,Hell's Kitchen Polygon,ACTIVE
10,Jersey City,829 Garfield,US,110.0,3,Floating Jersey,ACTIVE
1,Tel Aviv-Yafo,Azrieli TLV,IL,100.0,,,INACTIVE
122,Miami Beach,Flamingo Point North Tower,US,367.0,13,Miami Beach Polygon,ACTIVE
61,West Orange,Stonehill,US,420.0,8,Chatham / West Orange Polygon,ACTIVE
8,Jersey City,One Ten,US,238.0,6,Hoboken Polygon,ACTIVE
4,Tel Aviv-Yafo,Gindi 1,IL,385.0,,,INACTIVE
205,New York,1 River Place,US,,4,Hell's Kitchen Polygon,ACTIVE
7,Tel Aviv-Yafo,Gindi 2,IL,300.0,,,INACTIVE
220,Miami,Bay Parc,US,,1,Edgewater Polygon,ACTIVE
11,Tel Aviv-Yafo,Gindi 3,IL,300.0,,,INACTIVE
60,Tel Aviv-Yafo,HaHehad,IL,70.0,,,INACTIVE
276,Miami Beach,1510 Bay Road,US,,13,Miami Beach Polygon,ACTIVE
95,Brooklyn,416 Kent Avenue,US,252.0,10,Williamsburg Polygon,ACTIVE
156,Key Biscayne,Cape Florida Club Condo Phase,US,60.0,2,The Ocean Club Polygon,INACTIVE
44,New York,330W-56th,US,274.0,4,Hell's Kitchen Polygon,ACTIVE
137,Tel Aviv-Yafo,Rothschild 80,IL,14.0,,,INACTIVE
150,Miami,Quantum on the Bay Condominium,US,698.0,1,Edgewater Polygon,ACTIVE
157,Key Biscayne,Botanica at Key Colony,US,291.0,2,The Ocean Club Polygon,INACTIVE
269,New York,20 Exchange Place,US,,9,Financial District Polygon,ACTIVE
159,Key Biscayne,Governors Lodge Condo,US,33.0,2,The Ocean Club Polygon,INACTIVE
18,Jersey City,Artofnewark,US,150.0,,,INACTIVE
134,East Hanover,Livana East Hanover,US,265.0,8,Chatham / West Orange Polygon,ACTIVE
169,Miami,Aria on the Bay Condominium Association  INC,US,648.0,1,Edgewater Polygon,ACTIVE
115,Miami,Grove Central Residences,US,402.0,5,Flow Brickell Polygon,ACTIVE
183,Miami,1800 North Bayshore Drive,US,469.0,1,Edgewater Polygon,ACTIVE
230,Brooklyn,378 Bergen Street,US,,11,Boerum Hill Polygon,ACTIVE
177,Jersey City,413 Summit,US,148.0,,,INACTIVE
144,Harrison,Waters Edge,US,141.0,7,Harrison Polygon,ACTIVE
214,Brooklyn,1 Boerum Place,US,,12,Brooklyn Heights Polygon,ACTIVE
41,New York,John Street 116,US,220.0,9,Financial District Polygon,ACTIVE
99,Jersey City,425 Summit,US,390.0,,,INACTIVE
141,Key Biscayne,Biscayne SFR,US,400.0,2,The Ocean Club Polygon,INACTIVE
114,New York,20 Broad Street,US,533.0,9,Financial District Polygon,ACTIVE
140,Miami Beach,Southgate Towers,US,498.0,13,Miami Beach Polygon,ACTIVE
117,New York,The Landon,US,371.0,4,Hell's Kitchen Polygon,ACTIVE
188,Key Biscayne,55 Ocean Lane Drive,US,,2,The Ocean Club Polygon,INACTIVE
133,Miami,2000 Biscayne,US,424.0,1,Edgewater Polygon,ACTIVE
53,Harrison,The Eddy,US,310.0,7,Harrison Polygon,ACTIVE
203,Miami,Venetia Condominium,US,384.0,1,Edgewater Polygon,ACTIVE
152,Key Biscayne,Lake Tower,US,75.0,2,The Ocean Club Polygon,INACTIVE
194,New York,The Atelier Condo NYC,US,478.0,4,Hell's Kitchen Polygon,ACTIVE
98,Jersey City,345 Baldwin Avenue,US,116.0,3,Floating Jersey,ACTIVE
176,Jersey City,75 Jordan ,US,35.0,,,INACTIVE
39,New York,west-33rd-street-42-new-york,US,125.0,,,INACTIVE
145,Harrison,Dey and Bergen,US,242.0,7,Harrison Polygon,ACTIVE
54,New York,Nine 52,US,156.0,4,Hell's Kitchen Polygon,ACTIVE
62,Jersey City,Le Leo,US,99.0,,,INACTIVE
42,Chatham,The Ivy,US,200.0,8,Chatham / West Orange Polygon,ACTIVE
195,Miami,Flow Brickell,US,632.0,5,Flow Brickell Polygon,ACTIVE
186,Key Biscayne,100 Sunrise Drive,US,,2,The Ocean Club Polygon,INACTIVE
207,New York,561 10th Avenue,US,,4,Hell's Kitchen Polygon,ACTIVE
121,Miami Beach,Flamingo Point Center Tower,US,513.0,13,Miami Beach Polygon,ACTIVE
196,Miami,Flow Miami,US,444.0,,,INACTIVE
131,Brooklyn,The Addison,US,271.0,12,Brooklyn Heights Polygon,ACTIVE
52,Harrison,330 Angelo Cifelli,US,330.0,7,Harrison Polygon,ACTIVE
184,Key Biscayne,101 Sunrise Drive,US,,2,The Ocean Club Polygon,INACTIVE
91,Queens,Alta,US,467.0,15,Floating NY 1,ACTIVE
128,New York,250 E Houston,US,118.0,16,Floating NY 2,ACTIVE
127,New York,220 East 72nd Street,US,152.0,16,Floating NY 2,ACTIVE
126,Brooklyn,The Landing,US,140.0,12,Brooklyn Heights Polygon,ACTIVE
130,New York,Arabella 101,US,77.0,16,Floating NY 2,ACTIVE
76,Queens,Woodside Central,US,88.0,15,Floating NY 1,ACTIVE
75,Jersey City,The Devan,US,336.0,6,Hoboken Polygon,ACTIVE
215,Miami,Elysee Miami,US,,1,Edgewater Polygon,ACTIVE
96,Brooklyn,420 Kent Avenue,US,605.0,10,Williamsburg Polygon,ACTIVE
68,Brooklyn,655 Union,US,193.0,11,Boerum Hill Polygon,ACTIVE
12,New York,50W34th,US,150.0,,,INACTIVE
170,Key Biscayne,Towers of Key Biscayne,US,538.0,2,The Ocean Club Polygon,INACTIVE
48,New York,Olympia House,US,240.0,,,INACTIVE
123,Miami Beach,Flamingo South Beach,US,284.0,13,Miami Beach Polygon,ACTIVE
71,New York,Yorkville Tower 1,US,384.0,,,INACTIVE
213,Miami Beach,1330 West Avenue,US,,13,Miami Beach Polygon,ACTIVE
120,Brooklyn,66 Rockwell Place,US,326.0,12,Brooklyn Heights Polygon,ACTIVE
97,Jersey City,39 High Street,US,83.0,,,INACTIVE
153,Miami,Watermarc at Biscayne Bay,US,296.0,1,Edgewater Polygon,ACTIVE
155,Key Biscayne,Key Colony 1 Tidemark,US,282.0,2,The Ocean Club Polygon,INACTIVE
38,Hoboken,river-street-333-hoboken,US,200.0,,,INACTIVE
40,New York,east-45th-street-45-new-york,US,125.0,,,INACTIVE
65,Jersey City,Sawyer,US,120.0,6,Hoboken Polygon,INACTIVE
77,Jersey City,Oliver on the Hudson,US,401.0,,,ACTIVE
118,Brooklyn,The Bergen,US,84.0,11,Boerum Hill Polygon,ACTIVE
9,Jersey City,The Enclave,US,268.0,6,Hoboken Polygon,ACTIVE
17,New York,River Place,US,800.0,4,Hell's Kitchen Polygon,ACTIVE
272,Harrison,Harrison Urby Apartments,US,,7,Harrison Polygon,ACTIVE
178,Jersey City,179 Academy Street,US,50.0,,,INACTIVE
154,Key Biscayne,Key Colony 2. Ocean Sound,US,310.0,2,The Ocean Club Polygon,INACTIVE
138,Miami,The Mark on Brickell,US,370.0,,,INACTIVE
74,Miami,The Point at Coral Gables,US,237.0,,,INACTIVE
158,Key Biscayne,Bahiamar Condominium of Key,US,41.0,2,The Ocean Club Polygon,INACTIVE
57,Tel Aviv-Yafo,Bronze 3,IL,134.0,,,INACTIVE
198,Miami,Quantum on the Bay,US,698.0,1,Edgewater Polygon,ACTIVE
49,Brooklyn,409 Eastern Parkway,US,200.0,,,INACTIVE
149,Miami,Opera Tower,US,635.0,1,Edgewater Polygon,ACTIVE
135,Fair Lawn,Livana Fair Lawn,US,149.0,,,INACTIVE
63,Jersey City,Agnes,US,233.0,3,Floating Jersey,ACTIVE
232,Key Biscayne,Grand Bay Tower,US,,2,The Ocean Club Polygon,ACTIVE
197,Miami,251 NE 20th St apt 3506,US,420.0,1,Edgewater Polygon,ACTIVE
58,Tel Aviv-Yafo,Bronze 5,IL,140.0,,,INACTIVE
73,Miami,The Boulevard,US,282.0,,,ACTIVE
171,Miami,22 Skyview Apartments,US,258.0,1,Edgewater Polygon,ACTIVE
78,Tel Aviv-Yafo,Rom,IL,227.0,,,INACTIVE
37,Hoboken,hudson-street-205-hoboken,US,160.0,,,INACTIVE
