ApartmentId,Date,Value
1279,2024-05-30 21:10:45.294+00,45
1280,2024-05-30 21:15:22.827+00,45
1281,2024-05-30 21:23:24.635+00,45
1288,2024-05-30 22:45:18.444+00,45
1296,2024-06-02 01:47:49.189+00,45
1393,2024-06-17 15:27:34.7+00,45
1394,2024-06-17 15:29:52.013+00,45
1395,2024-06-17 15:31:42.79+00,45
1396,2024-06-17 15:39:31.708+00,45
1400,2024-06-17 15:57:59.735+00,45
1401,2024-06-17 16:04:51.69+00,45
1402,2024-06-17 16:06:01.248+00,45
1403,2024-06-17 16:26:57.028+00,45
1404,2024-06-17 16:29:11.843+00,45
1405,2024-06-17 16:48:16.899+00,45
1407,2024-06-17 19:12:20.331+00,45
1409,2024-06-17 23:54:16.92+00,45
1423,2024-06-20 03:53:14.768+00,45
1424,2024-06-20 13:38:59.979+00,45
1425,2024-06-20 15:52:30.831+00,45
1475,2024-06-28 16:29:47.216+00,300
1476,2024-06-28 16:59:46.23+00,300
1486,2024-07-01 14:25:03.074+00,300
1528,2024-07-08 14:13:52.563+00,100
1534,2024-07-08 19:20:56.043+00,100
1538,2024-07-09 11:34:30.212+00,100
1539,2024-07-09 12:26:50.961+00,100
1544,2024-07-09 13:54:46.743+00,300
1586,2024-07-10 12:25:26.54+00,300
1595,2024-07-10 19:44:31.968+00,100
1600,2024-07-11 21:39:43.64+00,300
1601,2024-07-11 21:48:53.834+00,300
1606,2024-07-11 23:08:06.662+00,300
1607,2024-07-11 23:17:08.289+00,300
1614,2024-07-12 13:52:58.576+00,300
1618,2024-07-12 21:00:38.984+00,300
1652,2024-07-19 14:19:54.689+00,100
1653,2024-07-19 14:24:27.747+00,100
1656,2024-07-19 14:52:51.39+00,100
1658,2024-07-19 15:06:20.196+00,100
1659,2024-07-19 15:07:36.973+00,100
1660,2024-07-19 15:27:02.953+00,100
1663,2024-07-19 20:57:39.884+00,100
1677,2024-07-22 00:30:26.536+00,100
1685,2024-07-23 11:54:10.835+00,100
1701,2024-07-24 21:00:45.998+00,100
1711,2024-07-25 15:14:20.149+00,100
1712,2024-07-25 18:23:34.09+00,100
1718,2024-07-26 12:01:27.959+00,100
1721,2024-07-27 01:13:28.555+00,100
1732,2024-07-28 22:29:46.574+00,100
1735,2024-07-29 17:28:10.642+00,100
1762,2024-08-05 18:25:34.531+00,100
1770,2024-08-06 19:27:44.305+00,100
1780,2024-08-07 11:56:23.204+00,100
1782,2024-08-07 13:47:44.383+00,100
1851,2024-08-10 23:22:31.571+00,100
1867,2024-08-12 21:28:42.328+00,100
2099,2024-09-10 14:16:27.647+00,50
2107,2024-09-10 21:13:57.29+00,50
2109,2024-09-10 22:05:09.513+00,50
2115,2024-09-11 10:16:45.5+00,50
1755,2024-09-11 16:34:30.913+00,50
2106,2024-09-11 17:59:51.02+00,50
2119,2024-09-11 20:15:46.849+00,50
2187,2024-09-19 15:02:45.323+00,50
2078,2024-09-21 14:59:50.765+00,50
2238,2024-10-03 03:24:54.583+00,100
2304,2024-10-10 00:53:33.86+00,50
2346,2024-10-11 20:47:47.563+00,50
2280,2024-10-12 20:38:51.808+00,50
1716,2024-10-15 02:12:36.339+00,50
2420,2024-10-16 16:58:16.312+00,50
2306,2024-10-17 03:38:16.67+00,100
2423,2024-10-17 15:19:20.719+00,50
2427,2024-10-18 17:14:07.203+00,50
2432,2024-10-18 20:04:05.962+00,50
1890,2024-10-20 15:12:42.012+00,50
2448,2024-10-20 19:46:20.677+00,50
2452,2024-10-21 16:47:25.209+00,50
1571,2024-10-22 21:17:17.742+00,50
142,2024-10-26 17:21:23.61+00,50
1882,2024-10-31 03:17:33.909+00,50
2375,2024-11-02 20:52:32.467+00,50
2717,2024-12-02 00:38:00.594+00,100
2753,2024-12-08 18:13:35.914+00,100
2722,2024-12-16 00:51:36.446+00,100
3005,2025-01-20 11:42:45.938+00,50
3006,2025-01-20 14:30:53.746+00,50
3111,2025-02-13 22:24:29.515+00,25
3116,2025-02-14 15:29:43.28+00,25
2391,2025-02-14 21:11:53.807+00,25
3120,2025-02-15 21:47:33.535+00,25
3135,2025-02-17 19:45:38.343+00,50
1968,2025-02-18 15:07:29.737+00,25
2515,2025-02-20 23:04:53.555+00,25
3925,2025-04-08 02:53:33.017+00,50
5333,2025-04-10 15:46:34.95+00,50
1885,2025-04-11 02:31:05.745+00,50
2563,2025-04-12 03:21:45.229+00,50
3578,2025-04-20 17:10:47.46+00,50
5464,2025-04-24 15:48:06.726+00,50
2393,2025-04-29 23:31:38.868+00,50
2356,2025-05-01 00:56:14.36+00,50
3919,2025-06-11 13:24:12.514+00,50
6224,2025-06-12 08:27:52.324+00,50
6225,2025-06-12 08:32:56.043+00,50
6266,2025-06-19 15:16:39.029+00,50
2128,2025-06-19 15:36:27.66+00,50
6055,2025-06-19 17:11:02.821+00,50
6271,2025-06-19 17:14:32.066+00,50
6276,2025-06-19 18:06:27.869+00,50
6281,2025-06-19 18:12:12.612+00,50
2558,2025-06-19 18:45:34.598+00,50
6279,2025-06-19 18:54:26.5+00,50
1932,2025-06-19 18:58:38.36+00,50
6304,2025-06-19 20:44:46.729+00,50
6312,2025-06-20 00:27:32.364+00,50
6319,2025-06-20 12:13:07.868+00,50
3530,2025-06-20 16:22:39.712+00,50
6339,2025-06-20 20:25:22.173+00,50
6340,2025-06-20 21:11:18.697+00,50
2188,2025-06-21 01:51:11.311+00,50
1928,2025-06-27 11:05:19.294+00,50
4845,2025-07-02 00:46:59.481+00,50
6527,2025-07-08 21:59:13.077+00,75
6254,2025-07-13 01:54:14.299+00,75
6580,2025-07-13 23:46:15.965+00,75
6661,2025-07-17 08:30:20.541+00,75
6525,2025-07-25 20:51:03.492+00,75
5213,2025-07-29 14:19:05.371+00,25
6389,2025-07-29 21:54:59.111+00,75
6774,2025-07-30 01:23:43.691+00,75
7001,2025-08-06 17:59:02.346+00,75
6991,2025-08-07 12:21:25.021+00,75
6838,2025-08-07 12:46:34.443+00,75
7050,2025-08-07 13:32:28.165+00,75
7049,2025-08-07 14:56:16.891+00,75
6493,2025-08-08 14:43:14.708+00,75
6502,2025-08-08 16:26:30.215+00,75
6981,2025-08-12 07:39:00.894+00,75
7147,2025-08-12 11:46:55.206+00,75
7143,2025-08-12 11:54:12.781+00,75
7148,2025-08-12 11:55:18.655+00,75
7150,2025-08-12 12:06:02.035+00,75
7151,2025-08-12 12:07:18.248+00,75
7156,2025-08-12 12:22:25.963+00,75
7158,2025-08-12 12:24:48.916+00,75
7166,2025-08-12 13:14:10.668+00,75
7170,2025-08-12 13:28:27.47+00,75
6892,2025-08-12 13:35:40.267+00,75
6870,2025-08-14 22:39:39.378+00,75
6811,2025-08-14 22:42:44.314+00,75
6859,2025-08-14 23:18:27.944+00,75
7239,2025-08-15 17:30:36.164+00,75
6398,2025-08-15 18:01:01.386+00,75
6989,2025-08-18 14:58:56.329+00,75
7327,2025-08-19 11:25:01.331+00,75
7328,2025-08-19 11:28:07.333+00,75
7335,2025-08-19 12:07:59+00,75
7336,2025-08-19 12:11:00.148+00,75
7337,2025-08-19 12:13:17.988+00,75
7338,2025-08-19 12:17:54.35+00,75
7341,2025-08-19 12:19:23.121+00,75
7340,2025-08-19 12:19:54.345+00,75
7342,2025-08-19 12:22:07.257+00,75
7114,2025-08-19 12:23:23.731+00,75
7343,2025-08-19 12:26:52.437+00,75
7344,2025-08-19 12:32:02.222+00,75
7345,2025-08-19 12:32:40.878+00,75
7346,2025-08-19 12:39:08.147+00,75
7334,2025-08-19 12:45:39.446+00,75
7348,2025-08-19 12:49:57.997+00,75
7353,2025-08-19 13:03:21.996+00,75
7354,2025-08-19 13:06:42.983+00,75
7355,2025-08-19 13:08:58.984+00,75
7356,2025-08-19 13:10:17.103+00,75
7359,2025-08-19 13:15:47.407+00,75
7363,2025-08-19 13:30:08.674+00,75
7364,2025-08-19 13:34:58.348+00,75
7366,2025-08-19 13:39:57.742+00,75
7367,2025-08-19 13:41:35.833+00,75
7368,2025-08-19 13:45:34.549+00,75
7369,2025-08-19 13:52:16.689+00,75
7370,2025-08-19 13:56:15.909+00,75
7371,2025-08-19 14:03:11.116+00,75
7411,2025-08-21 15:55:45.189+00,75
7421,2025-08-21 21:31:37.851+00,75
7422,2025-08-21 21:32:07.615+00,75
7424,2025-08-21 21:37:44.972+00,75
7425,2025-08-21 21:42:00.301+00,75
7427,2025-08-21 22:18:15.282+00,75
7428,2025-08-21 22:20:12.859+00,75
7431,2025-08-21 22:59:59.106+00,75
7633,2025-08-30 04:40:40.064+00,75
7652,2025-09-01 00:51:34.801+00,75
7089,2025-09-02 03:04:45.291+00,75
7730,2025-09-02 22:29:57.074+00,75
7771,2025-09-04 02:35:49.945+00,75
7810,2025-09-04 21:44:35.79+00,75
7856,2025-09-05 19:45:46.424+00,75
7088,2025-09-07 01:19:40.318+00,75
978,2025-09-10 14:46:06.715+00,200
7932,2025-09-10 15:23:41.715+00,200
7942,2025-09-11 13:33:28.672+00,75
7433,2025-09-14 14:23:58.738+00,75
8068,2025-09-17 11:47:01.017+00,75
8069,2025-09-17 11:54:32.567+00,75
8071,2025-09-17 12:04:47.027+00,75
8072,2025-09-17 12:06:22.634+00,75
8074,2025-09-17 12:10:58.801+00,75
8076,2025-09-17 12:11:28.926+00,75
8079,2025-09-17 12:21:28.57+00,75
8081,2025-09-17 12:22:53.297+00,75
8019,2025-09-17 12:28:59.475+00,75
8083,2025-09-17 12:31:35.272+00,75
7625,2025-09-17 12:35:09.415+00,75
8086,2025-09-17 12:42:01.253+00,75
8088,2025-09-17 12:45:02.877+00,75
8032,2025-09-17 12:46:43.876+00,75
7512,2025-09-17 12:46:51.206+00,75
8089,2025-09-17 12:49:39.972+00,75
8091,2025-09-17 12:54:26.585+00,75
8095,2025-09-17 13:06:04.426+00,75
8096,2025-09-17 13:08:26.818+00,75
7510,2025-09-17 13:13:33.575+00,75
8097,2025-09-17 13:18:24.694+00,75
8098,2025-09-17 13:19:18.599+00,75
7520,2025-09-17 13:24:22.278+00,75
8099,2025-09-17 13:28:04.25+00,75
8100,2025-09-17 13:31:45.121+00,75
8101,2025-09-17 13:36:16.81+00,75
8103,2025-09-17 13:46:18.557+00,75
8106,2025-09-17 13:52:28.749+00,75
8107,2025-09-17 13:54:33.716+00,75
8108,2025-09-17 14:10:18.984+00,75
8109,2025-09-17 14:11:03.285+00,75
8110,2025-09-17 14:14:56.328+00,75
8073,2025-09-17 17:15:26.892+00,75
8148,2025-09-18 21:59:07.317+00,75
8149,2025-09-18 22:03:42.301+00,75
8150,2025-09-18 22:18:13.626+00,75
8152,2025-09-18 22:23:35.64+00,75
7768,2025-09-18 22:30:59.011+00,75
8302,2025-09-22 23:54:47.591+00,75
8316,2025-09-23 11:25:43.217+00,75
8317,2025-09-23 11:35:48.818+00,75
8319,2025-09-23 11:50:09.754+00,75
8141,2025-09-23 11:52:52.392+00,75
8321,2025-09-23 11:59:59.086+00,75
8323,2025-09-23 12:09:35.989+00,75
8143,2025-09-23 12:10:04.432+00,75
8145,2025-09-23 12:17:30.824+00,75
8325,2025-09-23 12:26:30.398+00,75
8329,2025-09-23 12:35:27.516+00,75
8330,2025-09-23 12:38:41.889+00,75
8331,2025-09-23 12:38:45.949+00,75
8332,2025-09-23 12:44:30.83+00,75
8333,2025-09-23 12:47:54.742+00,75
8334,2025-09-23 12:49:02.733+00,75
8335,2025-09-23 12:53:29.214+00,75
8336,2025-09-23 13:01:39.985+00,75
8337,2025-09-23 13:04:53.88+00,75
8135,2025-09-23 13:09:21.782+00,75
8339,2025-09-23 13:12:31.721+00,75
8203,2025-09-23 13:17:26.348+00,75
8340,2025-09-23 13:25:27.777+00,75
8341,2025-09-23 13:28:44.263+00,75
8342,2025-09-23 13:46:24.382+00,75
8343,2025-09-23 13:48:23.981+00,75
8345,2025-09-23 13:56:00.718+00,75
8347,2025-09-23 14:17:17.196+00,75
8348,2025-09-23 14:23:25.839+00,75
8349,2025-09-23 14:34:26.607+00,75
8326,2025-09-23 16:56:01.016+00,75
8401,2025-09-24 22:04:34.544+00,75
8402,2025-09-24 22:09:27.329+00,75
8403,2025-09-24 22:10:15.061+00,75
8405,2025-09-24 22:25:06.528+00,75
8408,2025-09-24 22:44:55.51+00,75
8413,2025-09-25 11:50:32.128+00,75
8414,2025-09-25 11:56:12.064+00,75
8415,2025-09-25 11:58:22.581+00,75
8416,2025-09-25 11:59:14.293+00,75
8417,2025-09-25 12:07:37.936+00,75
8418,2025-09-25 12:09:59.2+00,75
8419,2025-09-25 12:10:29.904+00,75
8420,2025-09-25 12:13:10.347+00,75
8421,2025-09-25 12:14:06.762+00,75
8400,2025-09-25 12:22:36.06+00,75
8428,2025-09-25 12:23:14.367+00,75
8429,2025-09-25 12:27:15.158+00,75
8430,2025-09-25 12:33:27.746+00,75
8431,2025-09-25 12:36:14.507+00,75
8432,2025-09-25 12:37:00.479+00,75
8434,2025-09-25 12:38:53.099+00,75
8435,2025-09-25 12:44:10.258+00,75
8436,2025-09-25 12:48:47.237+00,75
8438,2025-09-25 12:54:59.635+00,75
8144,2025-09-25 12:58:33.498+00,75
8440,2025-09-25 12:59:54.896+00,75
8444,2025-09-25 13:34:42.927+00,75
8450,2025-09-25 13:45:27.899+00,75
8453,2025-09-25 13:48:52.131+00,75
8452,2025-09-25 13:53:36.237+00,75
8454,2025-09-25 14:01:01.121+00,75
6881,2025-09-25 14:06:03.796+00,75
8455,2025-09-25 14:09:11.692+00,75
8458,2025-09-25 14:56:14.326+00,75
8483,2025-09-27 14:18:19.83+00,75
8503,2025-09-30 17:13:02.321+00,50
8465,2025-10-01 15:45:50.317+00,50
8536,2025-10-02 20:24:28.291+00,75
8472,2025-10-03 19:55:06.286+00,50
8600,2025-10-07 19:20:51.941+00,75
8649,2025-10-09 18:59:12.206+00,50
8677,2025-10-12 04:52:03.236+00,75
8201,2025-10-12 12:45:18.363+00,50
8738,2025-10-14 21:44:59.719+00,75
2588,2025-10-14 21:45:46.943+00,75
8741,2025-10-14 22:01:11.138+00,75
8690,2025-10-14 22:26:23.821+00,75
8121,2025-10-14 22:29:50.45+00,75
8743,2025-10-15 03:19:18.964+00,75
8762,2025-10-16 11:45:29.591+00,75
8763,2025-10-16 12:28:04.168+00,75
1917,2025-10-16 12:38:33.369+00,75
7178,2025-10-16 12:43:15.907+00,75
2703,2025-10-16 12:48:05.48+00,75
8764,2025-10-16 13:01:34.143+00,75
8765,2025-10-16 13:05:46.356+00,75
1825,2025-10-16 13:49:10.661+00,75
8769,2025-10-16 13:52:55.16+00,75
8771,2025-10-16 14:11:38.588+00,75
8786,2025-10-17 16:14:36.297+00,50
7962,2025-10-17 17:50:10.695+00,75
8818,2025-10-19 17:27:29.837+00,75
8848,2025-10-21 11:32:45.045+00,75
8730,2025-10-21 11:36:55.973+00,75
8849,2025-10-21 11:42:01.355+00,75
8850,2025-10-21 11:46:49.791+00,75
8852,2025-10-21 11:59:22.553+00,75
8853,2025-10-21 12:01:19.641+00,75
8854,2025-10-21 12:05:47.139+00,75
8856,2025-10-21 12:17:34.858+00,75
8736,2025-10-21 12:30:42.762+00,75
8858,2025-10-21 12:40:44.638+00,75
8859,2025-10-21 12:42:24.011+00,75
8860,2025-10-21 12:56:51.086+00,75
8861,2025-10-21 12:58:46.66+00,75
8865,2025-10-21 13:29:07.215+00,75
8864,2025-10-21 13:29:26.327+00,75
8866,2025-10-21 13:44:00.061+00,75
8867,2025-10-21 13:52:08.062+00,75
8869,2025-10-21 14:00:51.586+00,75
8870,2025-10-21 14:20:31.748+00,75
8871,2025-10-21 14:23:46.105+00,75
7106,2025-10-25 17:12:16.998+00,75
8939,2025-10-25 22:28:47.913+00,75
6496,2025-10-27 13:27:22.992+00,75
7731,2025-10-27 14:51:00.883+00,50
8977,2025-10-29 11:25:55.086+00,75
3192,2025-10-29 11:57:59.074+00,50
2054,2025-10-29 12:06:06.853+00,50
2866,2025-10-29 12:22:12.223+00,50
8985,2025-10-29 12:24:47.799+00,50
8986,2025-10-29 12:35:36.128+00,50
8990,2025-10-29 13:14:13.868+00,50
8993,2025-10-29 14:07:51.281+00,50
373,2025-10-30 17:56:11.36+00,75
8880,2025-10-31 13:30:20.562+00,75
8973,2025-11-03 09:38:38.457+00,50
8975,2025-11-03 10:19:08.689+00,50
9060,2025-11-03 10:57:25.915+00,50
9060,2025-11-03 11:08:56.948+00,75
5373,2025-11-03 17:54:51.193+00,50
2783,2025-11-03 17:58:30.84+00,50
1817,2025-11-03 19:24:54.353+00,50
5602,2025-11-03 21:00:52.054+00,50
7058,2025-11-04 00:15:23.265+00,50
8960,2025-11-04 02:20:34.903+00,50
9078,2025-11-04 02:53:29.099+00,75
9002,2025-11-04 16:44:48.684+00,50
9095,2025-11-05 12:26:11.212+00,50
9096,2025-11-05 12:35:00.566+00,50
9097,2025-11-05 12:36:08.351+00,50
9098,2025-11-05 12:51:42.437+00,50
9100,2025-11-05 13:08:45.041+00,50
9101,2025-11-05 13:15:55.934+00,50
9102,2025-11-05 13:22:35.291+00,50
9094,2025-11-05 13:25:59.5+00,50
9103,2025-11-05 13:28:29.345+00,50
9104,2025-11-05 13:35:45.528+00,50
9105,2025-11-05 13:40:35.062+00,50
9107,2025-11-05 13:49:57.172+00,50
8909,2025-11-05 13:51:27.869+00,50
9108,2025-11-05 13:51:37.425+00,50
9109,2025-11-05 14:12:07.828+00,50
9110,2025-11-05 14:15:49.203+00,50
9111,2025-11-05 14:17:05.272+00,50
9113,2025-11-05 14:33:52.258+00,50
9114,2025-11-05 14:43:43.726+00,50
9115,2025-11-05 14:54:53.969+00,50
8752,2025-11-05 15:08:56.535+00,50
9123,2025-11-06 12:31:02.911+00,50
9124,2025-11-06 12:35:13.669+00,50
9125,2025-11-06 12:46:33.912+00,50
1450,2025-11-06 13:05:01.718+00,50
9127,2025-11-06 13:23:18.316+00,50
1451,2025-11-06 13:29:21.958+00,50
9128,2025-11-06 13:47:56.813+00,50
1443,2025-11-06 14:00:06.383+00,50
9130,2025-11-06 14:26:07.791+00,50
9078,2025-11-06 21:23:32.029+00,50
9142,2025-11-07 12:19:04.559+00,50
9143,2025-11-07 12:39:50.397+00,50
9144,2025-11-07 12:41:52.993+00,50
9145,2025-11-07 12:45:48.153+00,50
9146,2025-11-07 13:07:51.539+00,50
9147,2025-11-07 13:11:04.906+00,50
9148,2025-11-07 13:32:32.954+00,50
8793,2025-11-07 13:37:32.217+00,50
8724,2025-11-07 13:43:03.968+00,50
9149,2025-11-07 13:44:11.522+00,50
9150,2025-11-07 13:52:53.447+00,50
9151,2025-11-07 13:55:38.264+00,50
9152,2025-11-07 14:03:36.643+00,50
9154,2025-11-07 14:07:48.083+00,50
9156,2025-11-07 14:25:04.888+00,50
9155,2025-11-07 14:25:21.668+00,50
9157,2025-11-07 14:31:10.389+00,50
8925,2025-11-07 14:31:59.707+00,50
9158,2025-11-07 14:34:02.107+00,50
9159,2025-11-07 14:39:27.018+00,50
9160,2025-11-07 14:42:26.342+00,50
9161,2025-11-07 14:46:10.4+00,50
9162,2025-11-07 14:59:54.801+00,50
9163,2025-11-07 15:12:42.352+00,50
9165,2025-11-07 15:14:17.207+00,50
9164,2025-11-07 15:17:00.853+00,50
9166,2025-11-07 15:20:42.705+00,50
9167,2025-11-07 15:27:19.446+00,50
9174,2025-11-08 01:19:53.257+00,50
9199,2025-11-10 22:03:09.726+00,50
9205,2025-11-11 13:08:39.121+00,50
7445,2025-11-11 14:34:01.892+00,50
9200,2025-11-12 16:09:24.5+00,50
9236,2025-11-12 16:51:55.169+00,50
8531,2025-11-12 20:53:44.158+00,75
9199,2025-11-12 21:16:48.309+00,75
8106,2025-11-13 00:06:05.112+00,50
8321,2025-11-13 00:31:43.952+00,50
7831,2025-11-13 02:04:07.118+00,50
7783,2025-11-13 22:51:45.142+00,50
9251,2025-11-13 23:18:07.725+00,50
9252,2025-11-13 23:38:58.633+00,50
9256,2025-11-14 12:58:36.931+00,50
9257,2025-11-14 13:10:44.989+00,50
9258,2025-11-14 13:14:46.393+00,50
9259,2025-11-14 13:27:50.673+00,50
9260,2025-11-14 13:31:35.725+00,50
9261,2025-11-14 13:46:00.948+00,50
9262,2025-11-14 13:51:58.337+00,50
9263,2025-11-14 14:04:20.293+00,50
9264,2025-11-14 14:08:54.348+00,50
9265,2025-11-14 14:35:15.47+00,50
9266,2025-11-14 14:46:18.212+00,50
9267,2025-11-14 14:50:17.589+00,50
9268,2025-11-14 15:22:05.853+00,50
9269,2025-11-14 16:11:11.755+00,50
9230,2025-11-17 00:09:42.054+00,50
9289,2025-11-17 05:48:16.316+00,50
8641,2025-11-17 21:04:30.397+00,75
9297,2025-11-18 12:20:10.216+00,50
7271,2025-11-18 12:32:24.269+00,50
9300,2025-11-18 13:13:20.794+00,50
9299,2025-11-18 13:13:44.124+00,50
9302,2025-11-18 13:22:26.299+00,50
2156,2025-11-18 13:24:08.185+00,50
9303,2025-11-18 13:24:41.699+00,50
9304,2025-11-18 13:29:08.382+00,50
2871,2025-11-18 13:29:35.164+00,50
2189,2025-11-18 13:41:19.762+00,50
9305,2025-11-18 13:46:46.872+00,50
9306,2025-11-18 13:55:52.61+00,50
9307,2025-11-18 14:14:28.408+00,50
9308,2025-11-18 14:25:23.708+00,50
9309,2025-11-18 14:29:17.349+00,50
9310,2025-11-18 14:34:38.039+00,50
9311,2025-11-18 14:41:36.731+00,50
9312,2025-11-18 14:46:48.881+00,50
9313,2025-11-18 14:56:56.05+00,50
2265,2025-11-18 14:57:48.267+00,50
2157,2025-11-18 15:05:35.54+00,50
2149,2025-11-18 15:08:30.527+00,50
9315,2025-11-18 15:08:47.035+00,50
9316,2025-11-18 15:31:14.622+00,50
9314,2025-11-18 15:56:45.72+00,50
9215,2025-11-19 00:54:46.229+00,50
9330,2025-11-19 13:11:33.237+00,75
6423,2025-11-19 13:25:25.889+00,75
7009,2025-11-19 13:41:36.718+00,75
8523,2025-11-19 13:47:37.621+00,75
9331,2025-11-19 13:48:28.873+00,75
6676,2025-11-19 13:50:07.816+00,75
9332,2025-11-19 14:00:46.414+00,75
9334,2025-11-19 14:30:55.107+00,75
9336,2025-11-19 14:33:38.112+00,75
9337,2025-11-19 14:45:35.263+00,75
9346,2025-11-20 12:01:09.507+00,50
9347,2025-11-20 12:26:28.351+00,50
5906,2025-11-20 12:30:58.839+00,50
9239,2025-11-20 12:39:26.149+00,50
5973,2025-11-20 12:46:45.648+00,50
6667,2025-11-20 12:46:54.035+00,50
9349,2025-11-20 12:49:58.944+00,50
5766,2025-11-20 12:52:14.765+00,50
9350,2025-11-20 13:01:46.416+00,50
9342,2025-11-20 13:03:45.844+00,75
9351,2025-11-20 13:10:55.994+00,50
9352,2025-11-20 13:15:22.769+00,50
5807,2025-11-20 13:19:34.349+00,50
9354,2025-11-20 13:23:39.122+00,50
5909,2025-11-20 13:25:01.786+00,50
5639,2025-11-20 13:25:28.889+00,50
5765,2025-11-20 13:53:43.71+00,50
5972,2025-11-20 14:15:00.543+00,50
9356,2025-11-20 14:19:02.581+00,50
5822,2025-11-20 14:36:09.454+00,50
9357,2025-11-20 15:20:27.228+00,50
9358,2025-11-20 15:28:28.766+00,50
9359,2025-11-20 15:36:44.323+00,50
479,2025-11-20 18:20:32.006+00,50
8342,2025-11-20 19:47:32.955+00,75
8342,2025-11-20 20:22:00.248+00,50
9364,2025-11-20 22:32:57.058+00,50
9365,2025-11-20 22:39:24.676+00,50
9369,2025-11-21 04:11:04.695+00,50
9376,2025-11-21 17:42:34.352+00,75
8073,2025-11-21 22:16:06.302+00,50
9380,2025-11-21 22:35:00.421+00,50
9384,2025-11-22 16:59:40.362+00,75
9398,2025-11-24 00:45:43.771+00,75
9404,2025-11-24 11:55:16.561+00,50
7764,2025-11-24 13:47:23.434+00,50
9388,2025-11-24 17:21:09.335+00,50
7593,2025-11-24 19:37:37.966+00,50
8682,2025-11-25 17:55:47.514+00,50
9437,2025-11-25 18:40:08.88+00,50
5512,2025-11-26 10:37:44.215+00,50
9467,2025-11-26 15:01:38.749+00,50
9475,2025-11-26 18:06:34.975+00,50
9483,2025-11-27 12:00:48.504+00,50
9484,2025-11-27 12:01:29.717+00,50
9485,2025-11-27 12:02:12.843+00,50
9486,2025-11-27 12:14:35.247+00,50
8551,2025-11-28 15:30:03.036+00,75
9488,2025-11-30 01:04:33.124+00,50
9557,2025-12-02 21:57:17.315+00,50
9579,2025-12-04 13:33:34.168+00,50
9472,2025-12-04 13:44:36.933+00,50
9578,2025-12-04 13:45:40.689+00,50
