ApartmentId,StartDate,EndDate,PromotionType,PromotionValue
619,2025-04-14,2030-01-01,fixed,13
591,2025-04-14,2030-01-01,fixed,13
593,2025-04-14,2030-01-01,fixed,13
2289,2025-04-14,2030-01-01,fixed,13
609,2025-04-14,2030-01-01,fixed,13
809,2025-04-14,2030-01-01,fixed,13
579,2025-04-14,2030-01-01,fixed,13
2292,2025-04-14,2030-01-01,fixed,13
448,2025-04-14,2030-01-01,fixed,13
446,2025-04-14,2030-01-01,fixed,13
464,2025-04-14,2030-01-01,fixed,13
468,2025-04-14,2030-01-01,fixed,13
461,2025-04-14,2030-01-01,fixed,13
444,2025-04-14,2030-01-01,fixed,13
432,2025-04-14,2030-01-01,fixed,13
487,2025-04-14,2030-01-01,fixed,13
467,2025-04-14,2030-01-01,fixed,13
436,2025-04-14,2030-01-01,fixed,13
437,2025-04-14,2030-01-01,fixed,13
454,2025-04-14,2030-01-01,fixed,13
476,2025-04-14,2030-01-01,fixed,13
469,2025-04-14,2030-01-01,fixed,13
515,2025-04-14,2030-01-01,fixed,13
519,2025-04-14,2030-01-01,fixed,13
583,2025-04-14,2030-01-01,fixed,13
584,2025-04-14,2030-01-01,fixed,13
2326,2025-04-14,2030-01-01,fixed,13
527,2025-04-14,2030-01-01,fixed,13
536,2025-04-14,2030-01-01,fixed,13
543,2025-04-14,2030-01-01,fixed,13
590,2025-04-14,2030-01-01,fixed,13
620,2025-04-14,2030-01-01,fixed,13
532,2025-04-14,2030-01-01,fixed,13
705,2025-04-14,2030-01-01,fixed,13
694,2025-04-14,2030-01-01,fixed,13
585,2025-04-14,2030-01-01,fixed,13
709,2025-04-14,2030-01-01,fixed,13
776,2025-04-14,2030-01-01,fixed,13
603,2025-04-14,2030-01-01,fixed,13
617,2025-04-14,2030-01-01,fixed,13
534,2025-04-14,2030-01-01,fixed,13
538,2025-04-14,2030-01-01,fixed,13
791,2025-04-14,2030-01-01,fixed,13
2295,2025-04-14,2030-01-01,fixed,13
1252,2025-04-14,2030-01-01,fixed,13
1269,2025-04-14,2030-01-01,fixed,13
1189,2025-04-14,2030-01-01,fixed,13
1196,2025-04-14,2030-01-01,fixed,13
1216,2025-04-14,2030-01-01,fixed,13
1202,2025-04-14,2030-01-01,fixed,13
1228,2025-04-14,2030-01-01,fixed,13
1247,2025-04-14,2030-01-01,fixed,13
604,2025-04-14,2030-01-01,fixed,13
1264,2025-04-14,2030-01-01,fixed,13
2347,2025-04-14,2030-01-01,fixed,13
898,2025-04-14,2030-01-01,fixed,13
892,2025-04-14,2030-01-01,fixed,13
912,2025-04-14,2030-01-01,fixed,13
916,2025-04-14,2030-01-01,fixed,13
921,2025-04-14,2030-01-01,fixed,13
931,2025-04-14,2030-01-01,fixed,13
932,2025-04-14,2030-01-01,fixed,13
1155,2025-04-14,2030-01-01,fixed,13
923,2025-04-14,2030-01-01,fixed,13
1029,2025-04-14,2030-01-01,fixed,13
1034,2025-04-14,2030-01-01,fixed,13
1039,2025-04-14,2030-01-01,fixed,13
1042,2025-04-14,2030-01-01,fixed,13
1047,2025-04-14,2030-01-01,fixed,13
1054,2025-04-14,2030-01-01,fixed,13
1058,2025-04-14,2030-01-01,fixed,13
1063,2025-04-14,2030-01-01,fixed,13
1064,2025-04-14,2030-01-01,fixed,13
1069,2025-04-14,2030-01-01,fixed,13
1076,2025-04-14,2030-01-01,fixed,13
1093,2025-04-14,2030-01-01,fixed,13
1086,2025-04-14,2030-01-01,fixed,13
1095,2025-04-14,2030-01-01,fixed,13
11967,2026-05-19,2026-08-17,percentage,5
1099,2025-04-14,2030-01-01,fixed,13
1101,2025-04-14,2030-01-01,fixed,13
1081,2025-04-14,2030-01-01,fixed,13
1194,2025-04-14,2030-01-01,fixed,13
1199,2025-04-14,2030-01-01,fixed,13
1217,2025-04-14,2030-01-01,fixed,13
1226,2025-04-14,2030-01-01,fixed,13
1336,2025-04-14,2030-01-01,fixed,13
1303,2025-04-14,2030-01-01,fixed,13
1321,2025-04-14,2030-01-01,fixed,13
1334,2025-04-14,2030-01-01,fixed,13
1337,2025-04-14,2030-01-01,fixed,13
1335,2025-04-14,2030-01-01,fixed,13
1350,2025-04-14,2030-01-01,fixed,13
1352,2025-04-14,2030-01-01,fixed,13
1354,2025-04-14,2030-01-01,fixed,13
1365,2025-04-14,2030-01-01,fixed,13
1367,2025-04-14,2030-01-01,fixed,13
1368,2025-04-14,2030-01-01,fixed,13
1372,2025-04-14,2030-01-01,fixed,13
1373,2025-04-14,2030-01-01,fixed,13
1357,2025-04-14,2030-01-01,fixed,13
1374,2025-04-14,2030-01-01,fixed,13
1379,2025-04-14,2030-01-01,fixed,13
1383,2025-04-14,2030-01-01,fixed,13
1434,2025-04-14,2030-01-01,fixed,13
1473,2025-04-14,2030-01-01,fixed,13
1433,2025-04-14,2030-01-01,fixed,13
1483,2025-04-14,2030-01-01,fixed,13
1489,2025-04-14,2030-01-01,fixed,13
856,2025-04-14,2030-01-01,fixed,13
1539,2025-04-14,2030-01-01,fixed,13
1595,2025-04-14,2030-01-01,fixed,13
2329,2025-04-14,2030-01-01,fixed,13
2330,2025-04-14,2030-01-01,fixed,13
2355,2025-04-14,2030-01-01,fixed,13
1674,2025-04-14,2030-01-01,fixed,13
1692,2025-04-14,2030-01-01,fixed,13
1718,2025-04-14,2030-01-01,fixed,13
1712,2025-04-14,2030-01-01,fixed,13
1723,2025-04-14,2030-01-01,fixed,13
1742,2025-04-14,2030-01-01,fixed,13
1749,2025-04-14,2030-01-01,fixed,13
1768,2025-04-14,2030-01-01,fixed,13
1782,2025-04-14,2030-01-01,fixed,13
1582,2025-04-14,2030-01-01,fixed,13
1851,2025-04-14,2030-01-01,fixed,13
1907,2025-04-14,2030-01-01,fixed,13
1910,2025-04-14,2030-01-01,fixed,13
1938,2025-04-14,2030-01-01,fixed,13
1951,2025-04-14,2030-01-01,fixed,13
1959,2025-04-14,2030-01-01,fixed,13
1964,2025-04-14,2030-01-01,fixed,13
1961,2025-04-14,2030-01-01,fixed,13
2311,2025-04-14,2030-01-01,fixed,13
1987,2025-04-14,2030-01-01,fixed,13
1989,2025-04-14,2030-01-01,fixed,13
1994,2025-04-14,2030-01-01,fixed,13
2023,2025-04-14,2030-01-01,fixed,13
2027,2025-04-14,2030-01-01,fixed,13
2033,2025-04-14,2030-01-01,fixed,13
2039,2025-04-14,2030-01-01,fixed,13
2050,2025-04-14,2030-01-01,fixed,13
2025,2025-04-14,2030-01-01,fixed,13
2061,2025-04-14,2030-01-01,fixed,13
2095,2025-04-14,2030-01-01,fixed,13
2104,2025-04-14,2030-01-01,fixed,13
2194,2025-04-14,2030-01-01,fixed,13
2221,2025-04-14,2030-01-01,fixed,13
2264,2025-04-14,2030-01-01,fixed,13
2281,2025-04-14,2030-01-01,fixed,13
2324,2025-04-14,2030-01-01,fixed,13
2286,2025-04-14,2030-01-01,fixed,13
2344,2025-04-14,2030-01-01,fixed,13
2358,2025-04-14,2030-01-01,fixed,13
2407,2025-04-14,2030-01-01,fixed,13
2410,2025-04-14,2030-01-01,fixed,13
2427,2025-04-14,2030-01-01,fixed,13
2447,2025-04-14,2030-01-01,fixed,13
2455,2025-04-14,2030-01-01,fixed,13
2460,2025-04-14,2030-01-01,fixed,13
2449,2025-04-14,2030-01-01,fixed,13
2477,2025-04-14,2030-01-01,fixed,13
3869,2025-04-14,2030-01-01,fixed,13
2481,2025-04-14,2030-01-01,fixed,13
2490,2025-04-14,2030-01-01,fixed,13
2493,2025-04-14,2030-01-01,fixed,13
2503,2025-04-14,2030-01-01,fixed,13
8743,2025-10-15,2026-10-15,percentage,100
2505,2025-04-14,2030-01-01,fixed,13
2510,2025-04-14,2030-01-01,fixed,13
2519,2025-04-14,2030-01-01,fixed,13
2524,2025-04-14,2030-01-01,fixed,13
2532,2025-04-14,2030-01-01,fixed,13
2539,2025-04-14,2030-01-01,fixed,13
2543,2025-04-14,2030-01-01,fixed,13
3048,2025-04-14,2030-01-01,fixed,13
2548,2025-04-14,2030-01-01,fixed,13
2552,2025-04-14,2030-01-01,fixed,13
5236,2025-11-23,2026-11-23,percentage,100
2594,2025-04-14,2030-01-01,fixed,13
2595,2025-04-14,2030-01-01,fixed,13
2602,2025-04-14,2030-01-01,fixed,13
2608,2025-04-14,2030-01-01,fixed,13
2619,2025-04-14,2030-01-01,fixed,13
2620,2025-04-14,2030-01-01,fixed,13
2629,2025-04-14,2030-01-01,fixed,13
2622,2025-04-14,2030-01-01,fixed,13
8168,2026-05-19,2026-08-17,percentage,15
2641,2025-04-14,2030-01-01,fixed,13
2643,2025-04-14,2030-01-01,fixed,13
2646,2025-04-14,2030-01-01,fixed,13
2663,2025-04-14,2030-01-01,fixed,13
2651,2025-04-14,2030-01-01,fixed,13
2680,2025-04-14,2030-01-01,fixed,13
2684,2025-04-14,2030-01-01,fixed,13
2686,2025-04-14,2030-01-01,fixed,13
2681,2025-04-14,2030-01-01,fixed,13
2694,2025-04-14,2030-01-01,fixed,13
2695,2025-04-14,2030-01-01,fixed,13
2705,2025-04-14,2030-01-01,fixed,13
2706,2025-04-14,2030-01-01,fixed,13
2709,2025-04-14,2030-01-01,fixed,13
2713,2025-04-14,2030-01-01,fixed,13
2744,2025-04-14,2030-01-01,fixed,13
2748,2025-04-14,2030-01-01,fixed,13
2756,2025-04-14,2030-01-01,fixed,13
2774,2025-04-14,2030-01-01,fixed,13
8168,2026-05-19,2026-08-17,percentage,15
2892,2025-04-14,2030-01-01,fixed,13
2897,2025-04-14,2030-01-01,fixed,13
2914,2025-04-14,2030-01-01,fixed,13
2945,2025-04-14,2030-01-01,fixed,13
2949,2025-04-14,2030-01-01,fixed,13
2959,2025-04-14,2030-01-01,fixed,13
2965,2025-04-14,2030-01-01,fixed,13
3001,2025-04-14,2030-01-01,fixed,13
2999,2025-04-14,2030-01-01,fixed,13
3007,2025-04-14,2030-01-01,fixed,13
3018,2025-04-14,2030-01-01,fixed,13
3040,2025-04-14,2030-01-01,fixed,13
3054,2025-04-14,2030-01-01,fixed,13
3064,2025-04-14,2030-01-01,fixed,13
3070,2025-04-14,2030-01-01,fixed,13
3071,2025-04-14,2030-01-01,fixed,13
1353,2025-04-14,2030-01-01,fixed,13
3077,2025-04-14,2030-01-01,fixed,13
3079,2025-04-14,2030-01-01,fixed,13
648,2025-04-14,2030-01-01,fixed,13
3103,2025-04-14,2030-01-01,fixed,13
3113,2025-04-14,2030-01-01,fixed,13
3114,2025-04-14,2030-01-01,fixed,13
3115,2025-04-14,2030-01-01,fixed,13
3121,2025-04-14,2030-01-01,fixed,13
3132,2025-04-14,2030-01-01,fixed,13
3152,2025-04-14,2030-01-01,fixed,13
3181,2025-04-14,2030-01-01,fixed,13
3182,2025-04-14,2030-01-01,fixed,13
3540,2025-04-14,2030-01-01,fixed,13
3918,2025-04-14,2030-01-01,fixed,13
3543,2025-04-14,2030-01-01,fixed,13
3558,2025-04-14,2030-01-01,fixed,13
3616,2025-04-14,2030-01-01,fixed,13
3713,2025-04-14,2030-01-01,fixed,13
3718,2025-04-14,2030-01-01,fixed,13
3715,2025-04-14,2030-01-01,fixed,13
3896,2025-04-14,2030-01-01,fixed,13
1543,2025-04-14,2030-01-01,fixed,13
3943,2025-04-14,2030-01-01,fixed,13
3948,2025-04-14,2030-01-01,fixed,13
3981,2025-04-14,2030-01-01,fixed,13
3946,2025-04-14,2030-01-01,fixed,13
3963,2025-04-14,2030-01-01,fixed,13
3965,2025-04-14,2030-01-01,fixed,13
3136,2025-04-14,2030-01-01,fixed,13
2811,2025-04-14,2030-01-01,fixed,13
3970,2025-04-14,2030-01-01,fixed,13
3967,2025-04-14,2030-01-01,fixed,13
3968,2025-04-14,2030-01-01,fixed,13
3971,2025-04-14,2030-01-01,fixed,13
3974,2025-04-14,2030-01-01,fixed,13
3975,2025-04-14,2030-01-01,fixed,13
3976,2025-04-14,2030-01-01,fixed,13
3977,2025-04-14,2030-01-01,fixed,13
3978,2025-04-14,2030-01-01,fixed,13
3979,2025-04-14,2030-01-01,fixed,13
3980,2025-04-14,2030-01-01,fixed,13
3983,2025-04-14,2030-01-01,fixed,13
3988,2025-04-14,2030-01-01,fixed,13
3989,2025-04-14,2030-01-01,fixed,13
3990,2025-04-14,2030-01-01,fixed,13
3992,2025-04-14,2030-01-01,fixed,13
3994,2025-04-14,2030-01-01,fixed,13
3996,2025-04-14,2030-01-01,fixed,13
3997,2025-04-14,2030-01-01,fixed,13
3998,2025-04-14,2030-01-01,fixed,13
3999,2025-04-14,2030-01-01,fixed,13
4000,2025-04-14,2030-01-01,fixed,13
4001,2025-04-14,2030-01-01,fixed,13
4002,2025-04-14,2030-01-01,fixed,13
4004,2025-04-14,2030-01-01,fixed,13
4005,2025-04-14,2030-01-01,fixed,13
4006,2025-04-14,2030-01-01,fixed,13
4007,2025-04-14,2030-01-01,fixed,13
4008,2025-04-14,2030-01-01,fixed,13
4009,2025-04-14,2030-01-01,fixed,13
4010,2025-04-14,2030-01-01,fixed,13
4016,2025-04-14,2030-01-01,fixed,13
4019,2025-04-14,2030-01-01,fixed,13
4020,2025-04-14,2030-01-01,fixed,13
4021,2025-04-14,2030-01-01,fixed,13
4022,2025-04-14,2030-01-01,fixed,13
4023,2025-04-14,2030-01-01,fixed,13
4024,2025-04-14,2030-01-01,fixed,13
4025,2025-04-14,2030-01-01,fixed,13
4026,2025-04-14,2030-01-01,fixed,13
4028,2025-04-14,2030-01-01,fixed,13
4029,2025-04-14,2030-01-01,fixed,13
4030,2025-04-14,2030-01-01,fixed,13
4034,2025-04-14,2030-01-01,fixed,13
4036,2025-04-14,2030-01-01,fixed,13
4037,2025-04-14,2030-01-01,fixed,13
4039,2025-04-14,2030-01-01,fixed,13
5270,2025-04-14,2030-01-01,fixed,13
4040,2025-04-14,2030-01-01,fixed,13
4041,2025-04-14,2030-01-01,fixed,13
4043,2025-04-14,2030-01-01,fixed,13
4044,2025-04-14,2030-01-01,fixed,13
4045,2025-04-14,2030-01-01,fixed,13
4046,2025-04-14,2030-01-01,fixed,13
4047,2025-04-14,2030-01-01,fixed,13
4048,2025-04-14,2030-01-01,fixed,13
4049,2025-04-14,2030-01-01,fixed,13
4052,2025-04-14,2030-01-01,fixed,13
4053,2025-04-14,2030-01-01,fixed,13
4054,2025-04-14,2030-01-01,fixed,13
4056,2025-04-14,2030-01-01,fixed,13
4057,2025-04-14,2030-01-01,fixed,13
4058,2025-04-14,2030-01-01,fixed,13
4059,2025-04-14,2030-01-01,fixed,13
5236,2025-11-23,2026-11-23,percentage,100
9945,2026-01-12,2027-01-12,percentage,100
11881,2026-05-19,2026-08-17,percentage,5
4060,2025-04-14,2030-01-01,fixed,13
4061,2025-04-14,2030-01-01,fixed,13
4062,2025-04-14,2030-01-01,fixed,13
4063,2025-04-14,2030-01-01,fixed,13
4064,2025-04-14,2030-01-01,fixed,13
4068,2025-04-14,2030-01-01,fixed,13
4069,2025-04-14,2030-01-01,fixed,13
4070,2025-04-14,2030-01-01,fixed,13
4072,2025-04-14,2030-01-01,fixed,13
4073,2025-04-14,2030-01-01,fixed,13
4075,2025-04-14,2030-01-01,fixed,13
4076,2025-04-14,2030-01-01,fixed,13
4079,2025-04-14,2030-01-01,fixed,13
4081,2025-04-14,2030-01-01,fixed,13
4082,2025-04-14,2030-01-01,fixed,13
4084,2025-04-14,2030-01-01,fixed,13
4086,2025-04-14,2030-01-01,fixed,13
4087,2025-04-14,2030-01-01,fixed,13
4088,2025-04-14,2030-01-01,fixed,13
4089,2025-04-14,2030-01-01,fixed,13
4090,2025-04-14,2030-01-01,fixed,13
4091,2025-04-14,2030-01-01,fixed,13
4092,2025-04-14,2030-01-01,fixed,13
4093,2025-04-14,2030-01-01,fixed,13
4094,2025-04-14,2030-01-01,fixed,13
4095,2025-04-14,2030-01-01,fixed,13
4097,2025-04-14,2030-01-01,fixed,13
4098,2025-04-14,2030-01-01,fixed,13
4099,2025-04-14,2030-01-01,fixed,13
4100,2025-04-14,2030-01-01,fixed,13
4101,2025-04-14,2030-01-01,fixed,13
4102,2025-04-14,2030-01-01,fixed,13
4103,2025-04-14,2030-01-01,fixed,13
4104,2025-04-14,2030-01-01,fixed,13
4105,2025-04-14,2030-01-01,fixed,13
4107,2025-04-14,2030-01-01,fixed,13
4109,2025-04-14,2030-01-01,fixed,13
4110,2025-04-14,2030-01-01,fixed,13
4112,2025-04-14,2030-01-01,fixed,13
4114,2025-04-14,2030-01-01,fixed,13
4116,2025-04-14,2030-01-01,fixed,13
4117,2025-04-14,2030-01-01,fixed,13
4118,2025-04-14,2030-01-01,fixed,13
4119,2025-04-14,2030-01-01,fixed,13
4120,2025-04-14,2030-01-01,fixed,13
4121,2025-04-14,2030-01-01,fixed,13
4122,2025-04-14,2030-01-01,fixed,13
4124,2025-04-14,2030-01-01,fixed,13
4125,2025-04-14,2030-01-01,fixed,13
4127,2025-04-14,2030-01-01,fixed,13
4133,2025-04-14,2030-01-01,fixed,13
4135,2025-04-14,2030-01-01,fixed,13
4136,2025-04-14,2030-01-01,fixed,13
4137,2025-04-14,2030-01-01,fixed,13
4138,2025-04-14,2030-01-01,fixed,13
4139,2025-04-14,2030-01-01,fixed,13
4140,2025-04-14,2030-01-01,fixed,13
4141,2025-04-14,2030-01-01,fixed,13
4142,2025-04-14,2030-01-01,fixed,13
4144,2025-04-14,2030-01-01,fixed,13
4146,2025-04-14,2030-01-01,fixed,13
4149,2025-04-14,2030-01-01,fixed,13
4150,2025-04-14,2030-01-01,fixed,13
4151,2025-04-14,2030-01-01,fixed,13
4152,2025-04-14,2030-01-01,fixed,13
4154,2025-04-14,2030-01-01,fixed,13
4155,2025-04-14,2030-01-01,fixed,13
4157,2025-04-14,2030-01-01,fixed,13
4158,2025-04-14,2030-01-01,fixed,13
4161,2025-04-14,2030-01-01,fixed,13
4162,2025-04-14,2030-01-01,fixed,13
4164,2025-04-14,2030-01-01,fixed,13
4165,2025-04-14,2030-01-01,fixed,13
4167,2025-04-14,2030-01-01,fixed,13
4168,2025-04-14,2030-01-01,fixed,13
4169,2025-04-14,2030-01-01,fixed,13
4170,2025-04-14,2030-01-01,fixed,13
4174,2025-04-14,2030-01-01,fixed,13
4175,2025-04-14,2030-01-01,fixed,13
4176,2025-04-14,2030-01-01,fixed,13
4178,2025-04-14,2030-01-01,fixed,13
4179,2025-04-14,2030-01-01,fixed,13
4181,2025-04-14,2030-01-01,fixed,13
4182,2025-04-14,2030-01-01,fixed,13
4183,2025-04-14,2030-01-01,fixed,13
4185,2025-04-14,2030-01-01,fixed,13
4187,2025-04-14,2030-01-01,fixed,13
4189,2025-04-14,2030-01-01,fixed,13
4190,2025-04-14,2030-01-01,fixed,13
4191,2025-04-14,2030-01-01,fixed,13
4192,2025-04-14,2030-01-01,fixed,13
4193,2025-04-14,2030-01-01,fixed,13
4194,2025-04-14,2030-01-01,fixed,13
4196,2025-04-14,2030-01-01,fixed,13
4197,2025-04-14,2030-01-01,fixed,13
4198,2025-04-14,2030-01-01,fixed,13
4199,2025-04-14,2030-01-01,fixed,13
4201,2025-04-14,2030-01-01,fixed,13
4203,2025-04-14,2030-01-01,fixed,13
4205,2025-04-14,2030-01-01,fixed,13
4206,2025-04-14,2030-01-01,fixed,13
4207,2025-04-14,2030-01-01,fixed,13
4208,2025-04-14,2030-01-01,fixed,13
4210,2025-04-14,2030-01-01,fixed,13
4213,2025-04-14,2030-01-01,fixed,13
4214,2025-04-14,2030-01-01,fixed,13
4215,2025-04-14,2030-01-01,fixed,13
4216,2025-04-14,2030-01-01,fixed,13
4217,2025-04-14,2030-01-01,fixed,13
4218,2025-04-14,2030-01-01,fixed,13
4220,2025-04-14,2030-01-01,fixed,13
4222,2025-04-14,2030-01-01,fixed,13
4223,2025-04-14,2030-01-01,fixed,13
4224,2025-04-14,2030-01-01,fixed,13
4225,2025-04-14,2030-01-01,fixed,13
4227,2025-04-14,2030-01-01,fixed,13
4228,2025-04-14,2030-01-01,fixed,13
4230,2025-04-14,2030-01-01,fixed,13
4231,2025-04-14,2030-01-01,fixed,13
4234,2025-04-14,2030-01-01,fixed,13
4235,2025-04-14,2030-01-01,fixed,13
4237,2025-04-14,2030-01-01,fixed,13
4239,2025-04-14,2030-01-01,fixed,13
4241,2025-04-14,2030-01-01,fixed,13
4243,2025-04-14,2030-01-01,fixed,13
4244,2025-04-14,2030-01-01,fixed,13
4246,2025-04-14,2030-01-01,fixed,13
4247,2025-04-14,2030-01-01,fixed,13
4248,2025-04-14,2030-01-01,fixed,13
4249,2025-04-14,2030-01-01,fixed,13
4251,2025-04-14,2030-01-01,fixed,13
4252,2025-04-14,2030-01-01,fixed,13
4253,2025-04-14,2030-01-01,fixed,13
4255,2025-04-14,2030-01-01,fixed,13
4256,2025-04-14,2030-01-01,fixed,13
4261,2025-04-14,2030-01-01,fixed,13
4262,2025-04-14,2030-01-01,fixed,13
4263,2025-04-14,2030-01-01,fixed,13
4264,2025-04-14,2030-01-01,fixed,13
4265,2025-04-14,2030-01-01,fixed,13
4266,2025-04-14,2030-01-01,fixed,13
4268,2025-04-14,2030-01-01,fixed,13
4269,2025-04-14,2030-01-01,fixed,13
4271,2025-04-14,2030-01-01,fixed,13
4272,2025-04-14,2030-01-01,fixed,13
4273,2025-04-14,2030-01-01,fixed,13
4274,2025-04-14,2030-01-01,fixed,13
4276,2025-04-14,2030-01-01,fixed,13
4277,2025-04-14,2030-01-01,fixed,13
4278,2025-04-14,2030-01-01,fixed,13
4279,2025-04-14,2030-01-01,fixed,13
4281,2025-04-14,2030-01-01,fixed,13
4283,2025-04-14,2030-01-01,fixed,13
4284,2025-04-14,2030-01-01,fixed,13
4286,2025-04-14,2030-01-01,fixed,13
4287,2025-04-14,2030-01-01,fixed,13
4289,2025-04-14,2030-01-01,fixed,13
4291,2025-04-14,2030-01-01,fixed,13
4293,2025-04-14,2030-01-01,fixed,13
4294,2025-04-14,2030-01-01,fixed,13
4295,2025-04-14,2030-01-01,fixed,13
4296,2025-04-14,2030-01-01,fixed,13
4297,2025-04-14,2030-01-01,fixed,13
4299,2025-04-14,2030-01-01,fixed,13
4300,2025-04-14,2030-01-01,fixed,13
4301,2025-04-14,2030-01-01,fixed,13
4303,2025-04-14,2030-01-01,fixed,13
4304,2025-04-14,2030-01-01,fixed,13
4305,2025-04-14,2030-01-01,fixed,13
4306,2025-04-14,2030-01-01,fixed,13
4307,2025-04-14,2030-01-01,fixed,13
4308,2025-04-14,2030-01-01,fixed,13
4311,2025-04-14,2030-01-01,fixed,13
